	HMDB (*Representative ID)	Metabolite	Method	Pooled QC sample CV	RT	m/z
C18n_QI2198			C18-neg	0.074164713	0.65	242.9398
C18n_QI2274			C18-neg	0.055729628	0.65	244.1667
C18n_QI2323			C18-neg	0.092361955	0.65	246.146
C18n_QI2392			C18-neg	0.255744645	0.65	249.1458
C18n_QI2471			C18-neg	0.080068181	0.65	253.1308
C18n_QI2527			C18-neg	0.125079433	0.65	255.1101
C18n_QI2579			C18-neg	0.111848603	0.65	256.9556
C18n_QI2668			C18-neg	0.119741446	0.65	259.1412
C18n_QI2715			C18-neg	0.075964908	0.65	261.1095
C18n_QI2973			C18-neg	0.148008191	0.65	270.8915
C18n_QI2998			C18-neg	0.20253419	0.65	271.1415
C18n_QI3049			C18-neg	0.101779033	0.65	272.1732
C18n_QI3082			C18-neg	0.073219608	0.65	273.1572
C18n_QI3139			C18-neg	0.074310715	0.65	275.1253
C18n_QI3385			C18-neg	0.08503975	0.65	284.1254
C18n_QI3471			C18-neg	0.12302543	0.65	287.0398
C18n_QI3492			C18-neg	0.05335963	0.65	287.1255
C18n_QI3524			C18-neg	0.343007604	0.65	288.0578
C18n_QI3565			C18-neg	0.318228399	0.65	289.1154
C18n_QI3570			C18-neg	0.093392828	0.65	289.141
C18n_QI3694			C18-neg	0.074443332	0.65	294.9537
C18n_QI3941			C18-neg	0.050773282	0.65	303.1202
C18n_QI3995			C18-neg	0.066526679	0.65	305.1359
C18n_QI4052			C18-neg	0.039919262	0.65	307.1515
C18n_QI4098			C18-neg	0.108776026	0.65	308.9696
C18n_QI4161			C18-neg	0.087433981	0.65	310.9279
C18n_QI4347			C18-neg	0.137034027	0.65	315.2046
C18n_QI4364			C18-neg	0.2742386	0.65	316.0406
C18n_QI4404			C18-neg	0.078611845	0.65	317.0554
C18n_QI4427			C18-neg	0.042712225	0.65	317.147
C18n_QI4463			C18-neg	0.11820388	0.65	319.1153
C18n_QI4527			C18-neg	0.05101183	0.65	321.1308
C18n_QI4626			C18-neg	0.115965344	0.65	324.1306
C18n_QI4687			C18-neg	0.090257785	0.65	326.9018
C18n_QI4863			C18-neg	0.063323375	0.65	331.2357
C18n_QI4891			C18-neg	0.232469305	0.65	333.0603
C18n_QI5111			C18-neg	0.127491035	0.65	340.1254
C18n_QI5243			C18-neg	0.127688881	0.65	343.9955
C18n_QI5310			C18-neg	0.27774459	0.65	345.2515
C18n_QI5395			C18-neg	0.146230026	0.65	349.1623
C18n_QI5444			C18-neg	0.113557397	0.65	351.0577
C18n_QI5491			C18-neg	0.088217909	0.65	352.1256
C18n_QI5555			C18-neg	0.059344834	0.65	354.9944
C18n_QI5561			C18-neg	0.159942321	0.65	355.0889
C18n_QI6327			C18-neg	0.094786293	0.65	378.9155
C18n_QI6677			C18-neg	0.261904333	0.65	389.1689
C18n_QI6801			C18-neg	0.169409085	0.65	392.9312
C18n_QI6870			C18-neg	0.106388099	0.65	394.8893
C18n_QI7304			C18-neg	0.149833313	0.65	408.9051
C18n_QI7376			C18-neg	0.208045977	0.65	411.0281
C18n_QI7889			C18-neg	0.257097128	0.65	427.0014
C18n_QI8696			C18-neg	0.141244213	0.65	453.0049
C18n_QI8830			C18-neg	0.113351413	0.65	457.1208
C18n_QI9877			C18-neg	0.066890965	0.65	489.233
C18n_QI11191			C18-neg	0.063591288	0.65	535.2385
C18n_QI11793			C18-neg	0.214017965	0.65	561.1679
C18n_QI12719			C18-neg	0.160791034	0.65	619.1737
C18n_QI13159			C18-neg	0.08528173	0.65	665.2157
C18n_QI13174			C18-neg	0.162782602	0.65	667.2311
C18n_QI13415			C18-neg	0.112414928	0.65	711.2214
C18n_QI109			C18-neg	0.068266818	0.66	78.9576
C18n_QI246			C18-neg	0.048489348	0.66	112.9844
C18n_QI472			C18-neg	0.051861133	0.66	132.0291
C18n_QI557			C18-neg	0.152393068	0.66	138.055
C18n_QI766			C18-neg	0.136196313	0.66	154.0111
C18n_QI770			C18-neg	0.039950586	0.66	154.0612
C18n_QI837			C18-neg	0.25443696	0.66	161.0558
C18n_QI881			C18-neg	0.093143545	0.66	164.9561
C18n_QI924			C18-neg	0.073069318	0.66	167.0817
C18n_QI936			C18-neg	0.071088511	0.66	168.0769
C18n_QI969			C18-neg	0.066003848	0.66	171.0767
C18n_QI1071			C18-neg	0.078720795	0.66	180.9303
C18n_QI1104			C18-neg	0.269088859	0.66	182.9963
C18n_QI1282			C18-neg	0.174580801	0.66	190.0715
C18n_QI1285			C18-neg	0.151436918	0.66	191.0192
C18n_QI1303			C18-neg	0.101347734	0.66	193.0347
C18n_QI1313			C18-neg	0.421444058	0.66	193.0598
C18n_QI1390			C18-neg	0.333329872	0.66	199.0278
C18n_QI1420			C18-neg	0.091388135	0.66	200.0046
C18n_QI1454			C18-neg	0.767102904	0.66	202.0356
C18n_QI1459			C18-neg	0.220271121	0.66	202.0821
C18n_QI1577			C18-neg	0.241391019	0.66	210.0169
C18n_QI1634			C18-neg	0.073121377	0.66	214.0204
C18n_QI1635			C18-neg	0.084092465	0.66	214.0329
C18n_QI1647			C18-neg	0.34148649	0.66	215.0436
C18n_QI1702			C18-neg	0.305599471	0.66	218.0779
C18n_QI1758			C18-neg	0.276448427	0.66	222.9916
C18n_QI1788			C18-neg	0.448678404	0.66	224.0775
C18n_QI1800			C18-neg	0.069272296	0.66	225.0073
C18n_QI1862			C18-neg	0.054467114	0.66	227.0228
C18n_QI1901			C18-neg	0.054953963	0.66	229.0595
C18n_QI1994			C18-neg	0.127468215	0.66	232.0939
C18n_QI2039			C18-neg	0.174782851	0.66	236.0152
C18n_QI2081			C18-neg	0.068184468	0.66	237.9735
C18n_QI2154			C18-neg	0.075890164	0.66	241.0924
C18n_QI2217			C18-neg	0.04735185	0.66	243.018
C18n_QI2297			C18-neg	0.104258234	0.66	245.1255
C18n_QI2321			C18-neg	0.138316126	0.66	246.1096
C18n_QI2378			C18-neg	0.143219186	0.66	248.9605
C18n_QI2407			C18-neg	0.094408202	0.66	250.0934
C18n_QI2437			C18-neg	0.056863181	0.66	251.9893
C18n_QI2453			C18-neg	0.127324707	0.66	253.0568
C18n_QI2480			C18-neg	0.085665203	0.66	253.9476
C18n_QI2598			C18-neg	0.125790159	0.66	257.1145
C18n_QI2654			C18-neg	0.080843415	0.66	259.0438
C18n_QI2703			C18-neg	0.135353307	0.66	261.0619
C18n_QI2799			C18-neg	0.155849561	0.66	264.073
C18n_QI2816			C18-neg	0.063169948	0.66	264.9347
C18n_QI3112			C18-neg	0.095831083	0.66	274.1048
C18n_QI3168			C18-neg	0.135707214	0.66	276.1093
C18n_QI3317			C18-neg	0.160044259	0.66	282.009
C18n_QI3465			C18-neg	0.106119185	0.66	286.8745
C18n_QI3594			C18-neg	0.050227992	0.66	290.0885
C18n_QI3613			C18-neg	0.089503484	0.66	291.1204
C18n_QI3646			C18-neg	0.222173017	0.66	293.0996
C18n_QI3699			C18-neg	0.267130754	0.66	295.0677
C18n_QI3788			C18-neg	0.171098184	0.66	297.9825
C18n_QI3823			C18-neg	0.105177893	0.66	299.1366
C18n_QI3928			C18-neg	0.209182173	0.66	302.8394
C18n_QI4081			C18-neg	0.070795673	0.66	308.0993
C18n_QI4312			C18-neg	0.425108476	0.66	315.0402
C18n_QI4369			C18-neg	0.124067126	0.66	316.1155
C18n_QI4451			C18-neg	0.130600027	0.66	318.1312
C18n_QI4509			C18-neg	0.130360867	0.66	319.977
C18n_QI4524			C18-neg	0.163128574	0.66	321.0836
C18n_QI4558			C18-neg	0.090572211	0.66	322.115
C18n_QI4782			C18-neg	0.588718038	0.66	329.1351
C18n_QI4848			C18-neg	0.493566455	0.66	331.1264
C18n_QI4887			C18-neg	0.133296233	0.66	332.9216
C18n_QI4895			C18-neg	0.081169692	0.66	333.0963
C18n_QI4954			C18-neg	0.158009491	0.66	335.1472
C18n_QI5124			C18-neg	0.269143874	0.66	340.9175
C18n_QI5213			C18-neg	0.067780639	0.66	343.125
C18n_QI5277			C18-neg	0.903655192	0.66	345.1306
C18n_QI5321			C18-neg	0.231626487	0.66	347.0997
C18n_QI5378			C18-neg	0.112904879	0.66	348.8964
C18n_QI5454			C18-neg	0.229019634	0.66	351.087
C18n_QI5627			C18-neg	0.125500272	0.66	357.1049
C18n_QI5662			C18-neg	0.160898864	0.66	358.0763
C18n_QI5920			C18-neg	0.096693986	0.66	367.082
C18n_QI6325			C18-neg	0.622663486	0.66	378.8854
C18n_QI6447			C18-neg	0.165463822	0.66	383.1206
C18n_QI6513			C18-neg	0.206200333	0.66	385.1356
C18n_QI6586			C18-neg	0.107087045	0.66	387.0612
C18n_QI6674			C18-neg	0.111144232	0.66	389.1304
C18n_QI6997			C18-neg	0.095612183	0.66	399.1151
C18n_QI7375			C18-neg	0.106692206	0.66	410.8635
C18n_QI7716			C18-neg	0.157586831	0.66	419.9125
C18n_QI8081			C18-neg	0.136858746	0.66	432.8569
C18n_QI8773			C18-neg	0.13148867	0.66	455.1029
C18n_QI8943			C18-neg	0.100788643	0.66	461.1522
C18n_QI10278			C18-neg	0.090272559	0.66	503.1625
C18n_QI10356			C18-neg	0.176018574	0.66	505.1789
C18n_QI10684			C18-neg	0.231126259	0.66	516.8183
C18n_QI11098			C18-neg	0.175884344	0.66	531.1575
C18n_QI11530			C18-neg	0.060601833	0.66	549.1679
C18n_QI12867			C18-neg	0.111185619	0.66	633.1295
C18n_QI183			C18-neg	0.060022086	0.67	102.9555
C18n_QI339			C18-neg	0.071985208	0.67	118.9296
C18n_QI432			C18-neg	0.046020386	0.67	128.9584
C18n_QI455			C18-neg	0.086277928	0.67	130.9566
C18n_QI580			C18-neg	0.183754322	0.67	142.0111
C18n_QI661			C18-neg	0.080528127	0.67	147.0665
C18n_QI665			C18-neg	0.218219537	0.67	148.049
C18n_QI676			C18-neg	0.104166359	0.67	148.9488
C18n_QI779			C18-neg	0.079011314	0.67	156.0268
C18n_QI928			C18-neg	0.062688933	0.67	168.0269
C18n_QI952			C18-neg	0.23468643	0.67	169.9853
C18n_QI974			C18-neg	0.082191327	0.67	172.0218
C18n_QI1022			C18-neg	0.132775547	0.67	178.0136
C18n_QI1076			C18-neg	0.101073265	0.67	180.9722
C18n_QI1113			C18-neg	0.211922582	0.67	183.0766
C18n_QI1124			C18-neg	0.050184128	0.67	184.001
C18n_QI1218			C18-neg	0.121806931	0.67	187.9959
C18n_QI1363			C18-neg	0.073047706	0.67	196.9464
C18n_QI1422			C18-neg	0.194299346	0.67	200.0405
C18n_QI1453			C18-neg	0.138939801	0.67	202.0203
C18n_QI1463			C18-neg	0.17177275	0.67	202.1193
C18n_QI1465			C18-neg	0.231930187	0.67	202.8916
C18n_QI1493			C18-neg	0.048703115	0.67	204.0759
C18n_QI1500			C18-neg	0.107798859	0.67	205.0825
C18n_QI1607			C18-neg	0.139053064	0.67	212.9205
C18n_QI1613			C18-neg	0.120379057	0.67	213.0488
C18n_QI1718			C18-neg	0.087922596	0.67	219.0983
C18n_QI1879			C18-neg	0.080673798	0.67	227.1147
C18n_QI1935			C18-neg	0.147044807	0.67	230.0071
C18n_QI2012			C18-neg	0.085558141	0.67	233.0864
C18n_QI2187			C18-neg	0.273313092	0.67	242.0343
C18n_QI2449			C18-neg	0.084244613	0.67	252.0991
C18n_QI2501			C18-neg	0.248221688	0.67	254.9053
C18n_QI2700			C18-neg	0.220772169	0.67	261.0286
C18n_QI2772			C18-neg	0.069945949	0.67	263.0974
C18n_QI2858			C18-neg	0.428610251	0.67	267.0254
C18n_QI2895			C18-neg	0.055449441	0.67	267.9634
C18n_QI2961			C18-neg	0.068773028	0.67	270.0599
C18n_QI2972			C18-neg	0.093196981	0.67	270.8799
C18n_QI3121			C18-neg	0.087782027	0.67	275.0179
C18n_QI3224			C18-neg	0.302062876	0.67	279.0727
C18n_QI3273			C18-neg	0.05780526	0.67	280.9089
C18n_QI3444			C18-neg	0.126006377	0.67	286.0339
C18n_QI3544			C18-neg	0.118247934	0.67	288.8514
C18n_QI3561			C18-neg	0.140823871	0.67	289.0938
C18n_QI3754			C18-neg	0.089750949	0.67	296.8826
C18n_QI4673			C18-neg	0.167964939	0.67	325.9223
C18n_QI4986			C18-neg	0.09404996	0.67	335.9512
C18n_QI5140			C18-neg	0.050737469	0.67	341.1093
C18n_QI5179			C18-neg	0.328134927	0.67	341.8961
C18n_QI5259			C18-neg	0.330965719	0.67	344.8127
C18n_QI5319			C18-neg	0.377428862	0.67	346.8101
C18n_QI5330			C18-neg	0.384692667	0.67	347.1469
C18n_QI5487			C18-neg	0.24457648	0.67	351.925
C18n_QI5552			C18-neg	0.116668896	0.67	354.8417
C18n_QI5618			C18-neg	0.287201124	0.67	356.8394
C18n_QI5688			C18-neg	0.085115817	0.67	359.1202
C18n_QI5866			C18-neg	0.090610048	0.67	364.8702
C18n_QI6049			C18-neg	0.16474351	0.67	370.8156
C18n_QI6376			C18-neg	0.145809326	0.67	380.8442
C18n_QI6593			C18-neg	0.076721734	0.67	387.1151
C18n_QI7173			C18-neg	0.162910772	0.67	403.9382
C18n_QI7523			C18-neg	0.106188083	0.67	415.1465
C18n_QI7836			C18-neg	0.115199961	0.67	425.071
C18n_QI8188			C18-neg	0.269549078	0.67	435.8863
C18n_QI8561			C18-neg	0.198644197	0.67	448.8313
C18n_QI8941			C18-neg	0.201166482	0.67	461.048
C18n_QI9274			C18-neg	0.085186717	0.67	471.0764
C18n_QI9722			C18-neg	0.134827061	0.67	485.1518
C18n_QI10936			C18-neg	0.17587037	0.67	525.2098
C18n_QI11148			C18-neg	0.321034449	0.67	532.7912
C18n_QI96			C18-neg	0.081570364	0.68	74.0233
C18n_QI123			C18-neg	0.05124361	0.68	88.0389
C18n_QI132			C18-neg	0.137314325	0.68	92.9266
C18n_QI139			C18-neg	0.178192369	0.68	94.9236
C18n_QI191			C18-neg	0.093507255	0.68	104.9526
C18n_QI208			C18-neg	0.1987778	0.68	107.0602
C18n_QI218			C18-neg	0.109799208	0.68	108.9007
C18n_QI236			C18-neg	0.103175851	0.68	110.8977
C18n_QI351			C18-neg	0.111535828	0.68	120.9266
C18n_QI469			C18-neg	0.032524364	0.68	131.0815
C18n_QI775			C18-neg	0.34146527	0.68	155.0816
C18n_QI801			C18-neg	0.627852054	0.68	157.9854
C18n_QI844			C18-neg	0.252830239	0.68	161.972
C18n_QI955			C18-neg	0.255106969	0.68	170.0425
C18n_QI1182			C18-neg	0.117461074	0.68	186.0375
C18n_QI1291			C18-neg	0.377637831	0.68	191.983
C18n_QI1292			C18-neg	0.13949227	0.68	191.9943
C18n_QI1377			C18-neg	0.130107702	0.68	197.0926
C18n_QI1451			C18-neg	0.091162572	0.68	202.0119
C18n_QI1526			C18-neg	0.392337589	0.68	207.038
C18n_QI1541			C18-neg	0.097266649	0.68	207.9683
C18n_QI1759			C18-neg	0.255606964	0.68	223.0123
C18n_QI1825			C18-neg	0.093553403	0.68	225.0613
C18n_QI1920			C18-neg	0.085953391	0.68	229.1192
C18n_QI2053			C18-neg	0.103044884	0.68	236.104
C18n_QI2184			C18-neg	0.105228325	0.68	241.9604
C18n_QI2266			C18-neg	0.261978196	0.68	243.9187
C18n_QI2634			C18-neg	0.086447416	0.68	257.9345
C18n_QI2689			C18-neg	0.117531339	0.68	259.932
C18n_QI2696			C18-neg	0.220721	0.68	260.851
C18n_QI2996			C18-neg	0.551302539	0.68	271.1306
C18n_QI3041			C18-neg	0.696861362	0.68	272.1143
C18n_QI3220			C18-neg	0.549704767	0.68	278.8224
C18n_QI3229			C18-neg	0.148430184	0.68	279.1089
C18n_QI3292			C18-neg	0.332525227	0.68	281.109
C18n_QI3459			C18-neg	0.108728807	0.68	286.1888
C18n_QI3464			C18-neg	0.109625243	0.68	286.8539
C18n_QI3875			C18-neg	0.551263256	0.68	301.0932
C18n_QI4022			C18-neg	0.09517433	0.68	306.12
C18n_QI4044			C18-neg	0.238964381	0.68	307.1233
C18n_QI5063			C18-neg	0.347805561	0.68	338.8673
C18n_QI5186			C18-neg	0.511180382	0.68	342.1424
C18n_QI5391			C18-neg	0.113766706	0.68	349.1256
C18n_QI8698			C18-neg	0.10185616	0.68	453.0659
C18n_QI11047			C18-neg	0.144399518	0.68	529.1182
C18n_QI93			C18-neg	0.099747021	0.69	71.0124
C18n_QI136			C18-neg	0.135841158	0.69	93.0444
C18n_QI148			C18-neg	0.134817273	0.69	95.0601
C18n_QI162			C18-neg	0.278258498	0.69	97.0282
C18n_QI175			C18-neg	0.191943844	0.69	100.039
C18n_QI178			C18-neg	0.057573398	0.69	101.0231
C18n_QI182			C18-neg	0.049971882	0.69	102.0547
C18n_QI190			C18-neg	0.051212302	0.69	104.034
C18n_QI235			C18-neg	0.074829937	0.69	110.0712
C18n_QI244			C18-neg	0.090090921	0.69	112.0504
C18n_QI248			C18-neg	0.049957225	0.69	113.0232
C18n_QI250			C18-neg	0.053764776	0.69	114.0548
C18n_QI335			C18-neg	0.044910063	0.69	118.0498
C18n_QI342			C18-neg	0.056406825	0.69	119.0338
C18n_QI346			C18-neg	0.340833463	0.69	119.0532
C18n_QI360			C18-neg	0.175130518	0.69	121.0396
C18n_QI394			C18-neg	0.032193577	0.69	124.0062
C18n_QI426			C18-neg	0.185744665	0.69	127.0501
C18n_QI465			C18-neg	0.116550749	0.69	131.0451
C18n_QI476			C18-neg	0.084699238	0.69	132.0654
C18n_QI536			C18-neg	0.06974322	0.69	137.0345
C18n_QI568			C18-neg	0.372201096	0.69	139.039
C18n_QI569			C18-neg	0.046843518	0.69	139.0502
C18n_QI588			C18-neg	0.070752953	0.69	143.0339
C18n_QI620			C18-neg	0.048939097	0.69	145.0608
C18n_QI727			C18-neg	0.580641275	0.69	151.0503
C18n_QI750			C18-neg	0.196416138	0.69	152.0706
C18n_QI751			C18-neg	0.068928477	0.69	152.0818
C18n_QI763			C18-neg	0.167809244	0.69	153.0659
C18n_QI768			C18-neg	0.205744064	0.69	154.05
C18n_QI781			C18-neg	0.320229765	0.69	156.0768
C18n_QI819			C18-neg	0.048107555	0.69	159.0765
C18n_QI854			C18-neg	0.253700629	0.69	162.0762
C18n_QI911			C18-neg	0.085982883	0.69	166.0976
C18n_QI935			C18-neg	0.092407888	0.69	168.0657
C18n_QI950			C18-neg	0.086685011	0.69	169.0609
C18n_QI985			C18-neg	0.308066274	0.69	173.064
C18n_QI998			C18-neg	0.049506825	0.69	174.0875
C18n_QI1036			C18-neg	0.174850387	0.69	178.0864
C18n_QI82			C18-neg	0.03873931	0.69	179.0553
C18n_QI1090			C18-neg	0.066925327	0.69	181.071
C18n_QI1152			C18-neg	0.154890937	0.69	184.1083
C18n_QI1155			C18-neg	0.216354285	0.69	185.0214
C18n_QI1167			C18-neg	0.086284589	0.69	185.0924
C18n_QI1277			C18-neg	0.234691347	0.69	190.0035
C18n_QI1382			C18-neg	0.133604234	0.69	197.9394
C18n_QI1421			C18-neg	0.187816561	0.69	200.0325
C18n_QI1424			C18-neg	0.551623309	0.69	200.0922
C18n_QI1512			C18-neg	0.626662528	0.69	206.0666
C18n_QI1562			C18-neg	0.086713266	0.69	209.0662
C18n_QI1592			C18-neg	0.059716744	0.69	211.0819
C18n_QI1594			C18-neg	0.368485334	0.69	211.1084
C18n_QI1600			C18-neg	0.414173128	0.69	212.0325
C18n_QI1605			C18-neg	0.382562476	0.69	212.0922
C18n_QI1638			C18-neg	0.234600033	0.69	214.0829
C18n_QI1640			C18-neg	0.625869804	0.69	214.1193
C18n_QI1650			C18-neg	0.441052823	0.69	215.0668
C18n_QI1663			C18-neg	0.070855757	0.69	215.1033
C18n_QI1683			C18-neg	0.089597717	0.69	217.0294
C18n_QI1725			C18-neg	0.081529842	0.69	220.0823
C18n_QI1753			C18-neg	0.064056175	0.69	222.098
C18n_QI1795			C18-neg	0.555788228	0.69	224.0926
C18n_QI1854			C18-neg	0.05754477	0.69	226.0389
C18n_QI1870			C18-neg	0.198378904	0.69	227.0769
C18n_QI1897			C18-neg	0.120418063	0.69	228.0986
C18n_QI1939			C18-neg	0.13941426	0.69	230.0518
C18n_QI2009			C18-neg	0.137444416	0.69	233.0777
C18n_QI2016			C18-neg	0.159019463	0.69	233.1041
C18n_QI2023			C18-neg	0.21154867	0.69	234.0981
C18n_QI2026			C18-neg	0.060415237	0.69	235.0393
C18n_QI2073			C18-neg	0.289693229	0.69	237.0979
C18n_QI2101			C18-neg	0.099040649	0.69	239.077
C18n_QI2192			C18-neg	0.187136779	0.69	242.1033
C18n_QI2230			C18-neg	0.080111983	0.69	243.0986
C18n_QI2338			C18-neg	0.170454645	0.69	247.0935
C18n_QI2421			C18-neg	0.039215941	0.69	251.0773
C18n_QI2462			C18-neg	0.054934652	0.69	253.093
C18n_QI2467			C18-neg	0.582029986	0.69	253.1192
C18n_QI2542			C18-neg	0.272527014	0.69	255.1332
C18n_QI2573			C18-neg	0.102421213	0.69	256.1304
C18n_QI2646			C18-neg	0.055307008	0.69	258.1825
C18n_QI2850			C18-neg	0.081538014	0.69	266.0888
C18n_QI2888			C18-neg	0.118346801	0.69	267.1465
C18n_QI2904			C18-neg	0.154666605	0.69	268.1041
C18n_QI3111			C18-neg	0.14979364	0.69	274.0939
C18n_QI3115			C18-neg	0.098119426	0.69	274.1413
C18n_QI3120			C18-neg	0.079168298	0.69	274.1776
C18n_QI3264			C18-neg	0.177026144	0.69	280.1044
C18n_QI3283			C18-neg	0.082887872	0.69	281.0879
C18n_QI3345			C18-neg	0.115531449	0.69	283.1038
C18n_QI3404			C18-neg	0.117413111	0.69	285.1093
C18n_QI3453			C18-neg	0.499037332	0.69	286.1411
C18n_QI3527			C18-neg	0.120552091	0.69	288.1095
C18n_QI3538			C18-neg	0.160136385	0.69	288.1933
C18n_QI3758			C18-neg	0.091662124	0.69	297.0831
C18n_QI3976			C18-neg	0.124740845	0.69	304.1043
C18n_QI4086			C18-neg	0.263629308	0.69	308.1285
C18n_QI4174			C18-neg	0.124782981	0.69	311.0989
C18n_QI4903			C18-neg	0.123210981	0.69	333.131
C18n_QI5113			C18-neg	0.362472641	0.69	340.1518
C18n_QI5569			C18-neg	0.631788455	0.69	355.125
C18n_QI5992			C18-neg	0.044837386	0.69	369.1042
C18n_QI6056			C18-neg	0.12010484	0.69	371.1199
C18n_QI6925			C18-neg	0.479605359	0.69	397.1353
C18n_QI7006			C18-neg	0.114230249	0.69	399.1514
C18n_QI7939			C18-neg	0.11425738	0.69	428.1416
C18n_QI8067			C18-neg	0.065508307	0.69	432.175
C18n_QI8429			C18-neg	0.046802131	0.69	445.1568
C18n_QI9183			C18-neg	0.082907296	0.69	468.1514
C18n_QI9502			C18-neg	0.072755876	0.69	478.1804
C18n_QI9981			C18-neg	0.242221787	0.69	492.1965
C18n_QI10679			C18-neg	0.343137746	0.69	516.2306
C18n_QI10810			C18-neg	0.155078663	0.69	521.2224
C18n_QI11533			C18-neg	0.077326184	0.69	549.2539
C18n_QI13160			C18-neg	0.139078725	0.69	665.2513
C18n_QI99			C18-neg	0.325890963	0.7	75.0074
C18n_QI117			C18-neg	0.133280811	0.7	85.028
C18n_QI279			C18-neg	0.324196934	0.7	115.0388
C18n_QI293			C18-neg	0.031689604	0.7	116.0705
C18n_QI370			C18-neg	0.270385185	0.7	122.06
C18n_QI393			C18-neg	0.209915699	0.7	123.0553
C18n_QI407			C18-neg	0.062919445	0.7	124.9997
C18n_QI429			C18-neg	0.028529019	0.7	128.0341
C18n_QI431			C18-neg	0.122908648	0.7	128.0705
C18n_QI446			C18-neg	0.425471935	0.7	129.1021
C18n_QI486			C18-neg	0.037690159	0.7	134.0461
C18n_QI508			C18-neg	0.127587994	0.7	135.0494
C18n_QI593			C18-neg	0.255995825	0.7	143.1179
C18n_QI625			C18-neg	0.02975435	0.7	146.0448
C18n_QI630			C18-neg	0.206651948	0.7	146.0812
C18n_QI689			C18-neg	0.053286927	0.7	149.0444
C18n_QI729			C18-neg	0.094986529	0.7	151.0603
C18n_QI857			C18-neg	0.476057012	0.7	163.039
C18n_QI904			C18-neg	0.10497555	0.7	166.0169
C18n_QI905			C18-neg	0.580098156	0.7	166.0361
C18n_QI932			C18-neg	0.138434657	0.7	168.0421
C18n_QI960			C18-neg	0.167126229	0.7	170.996
C18n_QI982			C18-neg	0.144212069	0.7	173.0558
C18n_QI990			C18-neg	0.037992635	0.7	173.0922
C18n_QI994			C18-neg	0.158418171	0.7	174.0295
C18n_QI1035			C18-neg	0.169778994	0.7	178.0713
C18n_QI1065			C18-neg	0.02515221	0.7	180.0657
C18n_QI1147			C18-neg	0.12811369	0.7	184.0593
C18n_QI1150			C18-neg	0.090698695	0.7	184.0719
C18n_QI1215			C18-neg	0.034354593	0.7	187.108
C18n_QI1281			C18-neg	0.107261274	0.7	190.0714
C18n_QI1314			C18-neg	0.073319272	0.7	193.071
C18n_QI1342			C18-neg	0.038447169	0.7	194.9962
C18n_QI1354			C18-neg	0.27127497	0.7	195.0768
C18n_QI1357			C18-neg	0.44432998	0.7	196.0276
C18n_QI1364			C18-neg	0.13103348	0.7	197.012
C18n_QI1474			C18-neg	0.140945239	0.7	203.0669
C18n_QI1480			C18-neg	0.06519087	0.7	203.1031
C18n_QI1490			C18-neg	0.280037489	0.7	204.0509
C18n_QI1503			C18-neg	0.227947124	0.7	206.0123
C18n_QI1627			C18-neg	0.195080385	0.7	213.1239
C18n_QI1685			C18-neg	0.161574008	0.7	217.048
C18n_QI1698			C18-neg	0.023863365	0.7	217.1189
C18n_QI1720			C18-neg	0.100702726	0.7	220.0224
C18n_QI1732			C18-neg	0.060917908	0.7	221.0663
C18n_QI1768			C18-neg	0.127941971	0.7	223.0819
C18n_QI2033			C18-neg	0.146553061	0.7	235.0821
C18n_QI2038			C18-neg	0.260162905	0.7	235.9963
C18n_QI2071			C18-neg	0.273853581	0.7	237.088
C18n_QI2108			C18-neg	0.329051416	0.7	239.1037
C18n_QI2109			C18-neg	0.306401192	0.7	239.1138
C18n_QI2193			C18-neg	0.166651024	0.7	242.1147
C18n_QI2280			C18-neg	0.253533618	0.7	245.0432
C18n_QI2351			C18-neg	0.423973726	0.7	248.0541
C18n_QI2481			C18-neg	0.482421557	0.7	253.9993
C18n_QI2640			C18-neg	0.148475277	0.7	258.0563
C18n_QI2796			C18-neg	0.283461422	0.7	264.0283
C18n_QI2814			C18-neg	0.284211108	0.7	264.1488
C18n_QI2870			C18-neg	0.045525827	0.7	267.0734
C18n_QI2876			C18-neg	0.30617462	0.7	267.0988
C18n_QI2925			C18-neg	0.124613535	0.7	269.088
C18n_QI2980			C18-neg	0.257914338	0.7	271.0592
C18n_QI3042			C18-neg	0.108313079	0.7	272.1254
C18n_QI3176			C18-neg	0.077963915	0.7	277.0503
C18n_QI3213			C18-neg	0.23198858	0.7	278.1247
C18n_QI3553			C18-neg	0.084633342	0.7	289.0698
C18n_QI3603			C18-neg	0.169548605	0.7	291.0666
C18n_QI3643			C18-neg	0.534203024	0.7	293.076
C18n_QI3645			C18-neg	0.091472157	0.7	293.0882
C18n_QI3707			C18-neg	0.103581567	0.7	295.1032
C18n_QI3749			C18-neg	0.132547968	0.7	296.1354
C18n_QI3796			C18-neg	0.233465031	0.7	298.1144
C18n_QI4029			C18-neg	0.357582635	0.7	307.0701
C18n_QI4103			C18-neg	0.499232378	0.7	309.0833
C18n_QI4154			C18-neg	0.292368918	0.7	310.1148
C18n_QI4181			C18-neg	0.171231088	0.7	311.1358
C18n_QI4258			C18-neg	0.146747053	0.7	313.1412
C18n_QI4311			C18-neg	0.236860447	0.7	315.0063
C18n_QI4572			C18-neg	0.028248815	0.7	323.0987
C18n_QI4953			C18-neg	0.440681468	0.7	335.1461
C18n_QI4989			C18-neg	0.186155147	0.7	336.1305
C18n_QI5016			C18-neg	0.54049676	0.7	337.1151
